dataset,species,source_filepath,cache_path,n_points,plant_id,scan_date,is_annotated,n_raw,n_after_outlier_removal,n_outliers_removed,n_predecimated,n_final
Crops3D,Tomato,../data/crops3d/Tomato/10-5_1-1.ply,../data/preprocessed/Crops3D/Tomato/10-5_1-1.npz,4096,,,,635311,609265,26046,11894,4096
Crops3D,Tomato,../data/crops3d/Tomato/10-5_1-55.ply,../data/preprocessed/Crops3D/Tomato/10-5_1-55.npz,4096,,,,2049738,1966408,83330,25054,4096
Crops3D,Tomato,../data/crops3d/Tomato/10-5_10-3.ply,../data/preprocessed/Crops3D/Tomato/10-5_10-3.npz,4096,,,,1385806,1331014,54792,24987,4096
Crops3D,Tomato,../data/crops3d/Tomato/10-5_30-4.ply,../data/preprocessed/Crops3D/Tomato/10-5_30-4.npz,4096,,,,1515996,1451624,64372,17160,4096
Crops3D,Tomato,../data/crops3d/Tomato/10-5_30-52.ply,../data/preprocessed/Crops3D/Tomato/10-5_30-52.npz,4096,,,,619627,594268,25359,13428,4096
Crops3D,Tomato,../data/crops3d/Tomato/11-2_1-1.ply,../data/preprocessed/Crops3D/Tomato/11-2_1-1.npz,4096,,,,4358344,4177574,180770,19843,4096
Crops3D,Tomato,../data/crops3d/Tomato/11-2_1-55.ply,../data/preprocessed/Crops3D/Tomato/11-2_1-55.npz,4096,,,,5519258,5292581,226677,23885,4096
Crops3D,Tomato,../data/crops3d/Tomato/11-2_10-3.ply,../data/preprocessed/Crops3D/Tomato/11-2_10-3.npz,4096,,,,2633426,2521963,111463,25350,4096
Crops3D,Tomato,../data/crops3d/Tomato/11-2_20-28.ply,../data/preprocessed/Crops3D/Tomato/11-2_20-28.npz,4096,,,,7570581,7249660,320921,36605,4096
Crops3D,Tomato,../data/crops3d/Tomato/11-2_30-4.ply,../data/preprocessed/Crops3D/Tomato/11-2_30-4.npz,4096,,,,2482909,2378093,104816,22926,4096
Crops3D,Tomato,../data/crops3d/Tomato/11-2_35-22.ply,../data/preprocessed/Crops3D/Tomato/11-2_35-22.npz,4096,,,,4619087,4433074,186013,34657,4096
Crops3D,Tomato,../data/crops3d/Tomato/8-10_10-3.ply,../data/preprocessed/Crops3D/Tomato/8-10_10-3.npz,4096,,,,717362,693768,23594,20215,4096
Crops3D,Tomato,../data/crops3d/Tomato/8-10_10-53.ply,../data/preprocessed/Crops3D/Tomato/8-10_10-53.npz,4096,,,,670125,644087,26038,22132,4096
Crops3D,Tomato,../data/crops3d/Tomato/8-10_2-1.ply,../data/preprocessed/Crops3D/Tomato/8-10_2-1.npz,4096,,,,172416,166847,5569,11890,4096
Crops3D,Tomato,../data/crops3d/Tomato/8-10_20-28.ply,../data/preprocessed/Crops3D/Tomato/8-10_20-28.npz,4096,,,,575606,557353,18253,14213,4096
Crops3D,Tomato,../data/crops3d/Tomato/8-10_30-4.ply,../data/preprocessed/Crops3D/Tomato/8-10_30-4.npz,4096,,,,411796,398492,13304,15297,4096
Crops3D,Tomato,../data/crops3d/Tomato/8-10_30-52.ply,../data/preprocessed/Crops3D/Tomato/8-10_30-52.npz,4096,,,,350580,337618,12962,16762,4096
Crops3D,Tomato,../data/crops3d/Tomato/8-13_1-1.ply,../data/preprocessed/Crops3D/Tomato/8-13_1-1.npz,4096,,,,138243,133767,4476,10978,4096
Crops3D,Tomato,../data/crops3d/Tomato/8-13_1-55.ply,../data/preprocessed/Crops3D/Tomato/8-13_1-55.npz,4096,,,,349960,337503,12457,20473,4096
Crops3D,Tomato,../data/crops3d/Tomato/8-13_10-3.ply,../data/preprocessed/Crops3D/Tomato/8-13_10-3.npz,4096,,,,510984,493003,17981,17927,4096
Crops3D,Tomato,../data/crops3d/Tomato/8-13_10-53.ply,../data/preprocessed/Crops3D/Tomato/8-13_10-53.npz,4096,,,,217087,209351,7736,17775,4096
Crops3D,Tomato,../data/crops3d/Tomato/8-13_2-1.ply,../data/preprocessed/Crops3D/Tomato/8-13_2-1.npz,4096,,,,78655,75942,2713,9198,4096
Crops3D,Tomato,../data/crops3d/Tomato/8-13_20-28.ply,../data/preprocessed/Crops3D/Tomato/8-13_20-28.npz,4096,,,,322315,311316,10999,14513,4096
Crops3D,Tomato,../data/crops3d/Tomato/8-13_30-4.ply,../data/preprocessed/Crops3D/Tomato/8-13_30-4.npz,4096,,,,230493,222538,7955,16561,4096
Crops3D,Tomato,../data/crops3d/Tomato/8-13_30-52.ply,../data/preprocessed/Crops3D/Tomato/8-13_30-52.npz,4096,,,,427093,412708,14385,15208,4096
Crops3D,Tomato,../data/crops3d/Tomato/8-13_35-22.ply,../data/preprocessed/Crops3D/Tomato/8-13_35-22.npz,4096,,,,375584,363625,11959,15197,4096
Crops3D,Tomato,../data/crops3d/Tomato/8-16_1-1.ply,../data/preprocessed/Crops3D/Tomato/8-16_1-1.npz,4096,,,,304689,294398,10291,14093,4096
Crops3D,Tomato,../data/crops3d/Tomato/8-16_1-55.ply,../data/preprocessed/Crops3D/Tomato/8-16_1-55.npz,4096,,,,646390,621949,24441,20189,4096
Crops3D,Tomato,../data/crops3d/Tomato/8-22_10-3.ply,../data/preprocessed/Crops3D/Tomato/8-22_10-3.npz,4096,,,,1035417,989349,46068,29261,4096
Crops3D,Tomato,../data/crops3d/Tomato/8-22_10-53.ply,../data/preprocessed/Crops3D/Tomato/8-22_10-53.npz,4096,,,,699289,669497,29792,21747,4096
Crops3D,Tomato,../data/crops3d/Tomato/8-22_20-28.ply,../data/preprocessed/Crops3D/Tomato/8-22_20-28.npz,4096,,,,1030673,984276,46397,21990,4096
Crops3D,Tomato,../data/crops3d/Tomato/8-22_30-4.ply,../data/preprocessed/Crops3D/Tomato/8-22_30-4.npz,4096,,,,609303,582212,27091,23995,4096
